,Emotional Attachments,Career,Finance,Work Environment,Health,Stress
1,0.35330113,0.315760919,0.007355519,0.940845089,0.825164011,0.488485334
2,0.765824899,0.428621105,0.586240878,0.301162892,0.350962986,0.486562552
3,0.820463103,0.035079334,0.653970583,0.81021335,0.948087094,0.653562693
4,0.345253454,0.162625958,0.814382795,0.592558699,0.101234806,0.403211142
5,0.364079523,0.140570987,0.877810425,0.43385101,0.899693591,0.543201107
6,0.348045256,0.016678894,0.470581924,0.61105646,0.244454631,0.338163433
7,0.287205766,0.753242761,0.015141396,0.349869065,0.87466177,0.456024152
8,0.058568907,0.956543569,0.153665462,0.21476356,0.017908922,0.280290084
9,0.982229428,0.747373649,0.207898383,0.770730138,0.731999084,0.688046136
10,0.728101581,0.789632454,0.963009863,0.317574851,0.03471841,0.566607432
11,0.813724633,0.229344298,0.494221006,0.201474366,0.339245054,0.415601871
12,0.399084146,0.997965811,0.226234955,0.582176822,0.903467557,0.621785858
13,0.038093353,0.820659079,0.724883606,0.826049936,0.599920455,0.601921286
14,0.082377339,0.064437187,0.078795298,0.150064298,0.879575561,0.251049936
15,0.899764593,0.055384541,0.60717063,0.196062983,0.115090618,0.374694673
16,0.500156171,0.889545628,0.125883789,0.899799391,0.499180798,0.582913156
17,0.276215289,0.14708255,0.159446327,0.350583181,0.111100289,0.208885527
18,0.202334966,0.923374145,0.196202972,0.375369232,0.492222544,0.437900772
19,0.95588155,0.797708564,0.374725682,0.266921613,0.066643018,0.492376085
20,0.964759627,0.40678245,0.352966429,0.327228399,0.331950706,0.476737522
21,0.975406097,0.289580586,0.964653568,0.53485729,0.755940918,0.704087692
22,0.415883516,0.270666684,0.952214259,0.559656845,0.322485836,0.504181428
23,0.379324992,0.847089249,0.870999982,0.421637062,0.731562093,0.650122676
24,0.249073007,0.099434183,0.943002769,0.13808044,0.132648139,0.312447708
25,0.33073467,0.182974635,0.524568265,0.850094503,0.012059641,0.380086343
26,0.668495616,0.773189236,0.276740937,0.559711886,0.369762653,0.529580066
27,0.857867265,0.651723693,0.704739543,0.423940158,0.968691517,0.721392435
28,0.31447689,0.612056329,0.583398349,0.995707785,0.006576676,0.502443206
29,0.527895698,0.2274403,0.592175822,0.886420267,0.628953124,0.572577042
30,0.233125578,0.041732338,0.82999686,0.023836755,0.524446516,0.330627609
31,0.109126004,0.74774993,0.148439657,0.787083333,0.645599875,0.48759976
32,0.563858669,0.033328327,0.371610937,0.238034025,0.585524788,0.358471349
33,0.644026223,0.347566564,0.290016997,0.972690068,0.630175736,0.576895118
34,0.759406961,0.738531882,0.161641191,0.044101318,0.365246597,0.41378559
35,0.419966129,0.453348757,0.049581969,0.896828627,0.099440262,0.383833149
36,0.403203475,0.121664981,0.716124598,0.842668903,0.427636951,0.502259781
37,0.23943902,0.27351585,0.115752869,0.511159072,0.280948142,0.284162991
38,0.764236668,0.227487634,0.246117698,0.714282727,0.300294527,0.450483851
39,0.923004138,0.573346094,0.466936604,0.621143386,0.23667667,0.564221378
40,0.198564465,0.613752475,0.0372479,0.260546875,0.161525194,0.254327382
41,0.976447774,0.511333825,0.878162848,0.393768321,0.488052966,0.649553147
42,0.993785851,0.670841245,0.45111643,0.562557809,0.638744518,0.663409171
43,0.053968265,0.73590947,0.23716492,0.096229889,0.652201321,0.355094773
44,0.563324952,0.007466852,0.540058713,0.934888511,0.218454592,0.452838724
45,0.331910461,0.325947428,0.045878086,0.62681354,0.341756651,0.334461233
46,0.402814201,0.759417176,0.996047912,0.88576738,0.968703189,0.802549971
47,0.682818793,0.797274154,0.655806696,0.295526478,0.659544834,0.618194191
48,0.777016693,0.318902127,0.15760714,0.908468401,0.789401317,0.590279136
49,0.993131596,0.566200808,0.325160792,0.072527304,0.651101277,0.521624355
50,0.872888543,0.734351913,0.804521173,0.495927465,0.100480777,0.601633974
51,0.366864128,0.59710263,0.560597102,0.276190148,0.354752187,0.431101239
52,0.489300418,0.126976215,0.912771588,0.030953313,0.215328663,0.355066039
53,0.20351507,0.222321943,0.998402815,0.632327839,0.280293379,0.467372209
54,0.97493417,0.753780703,0.297458839,0.864837015,0.04608874,0.587419893
55,0.44453624,0.584996999,0.304241264,0.72488072,0.038804376,0.41949192
56,0.218321079,0.760845446,0.510350625,0.196673397,0.015274096,0.340292929
57,0.671464092,0.681794787,0.737139635,0.612609507,0.639515454,0.668504695
58,0.125791447,0.42015537,0.726226863,0.482209923,0.760997412,0.503076203
59,0.948978257,0.78788555,0.24203961,0.861511708,0.745183409,0.717119707
60,0.550713014,0.743375849,0.240878081,0.145702671,0.047748273,0.345683578
61,0.176041787,0.338941946,0.630401531,0.529675913,0.099374867,0.354887209
62,0.506637518,0.732468801,0.494396477,0.120860767,0.800651875,0.531003087
63,0.905940385,0.790271949,0.286048304,0.883522247,0.557618508,0.684680279
64,0.889377613,0.480246774,0.021043885,0.746105512,0.340900962,0.495534949
65,0.74283395,0.946557277,0.56954155,0.603682492,0.294970707,0.631517195
66,0.797117002,0.024947208,0.634709272,0.170696522,0.15394411,0.356282823
67,0.408511997,0.330022972,0.454794871,0.63397609,0.970724845,0.559606155
68,0.319856704,0.369076494,0.567140548,0.580025646,0.087653611,0.3847506
69,0.183024344,0.571139578,0.670617155,0.044122033,0.871005316,0.467981685
70,0.547324916,0.962243508,0.914703275,0.703396969,0.266153259,0.678764385
71,0.779639517,0.892631533,0.96841597,0.204363658,0.863648016,0.741739739
72,0.522548938,0.449775111,0.164405761,0.547640149,0.660130498,0.468900091
73,0.313355212,0.233476673,0.881724313,0.341584545,0.159855665,0.385999282
74,0.154838603,0.23142916,0.416911876,0.704507755,0.698415371,0.441220553
75,0.380359456,0.059327392,0.850906497,0.854684654,0.96270891,0.621597382
76,0.513957911,0.387778566,0.090405336,0.328003317,0.523858389,0.368800704
77,0.287721232,0.740511405,0.208360446,0.28269552,0.007990665,0.305455854
78,0.765066676,0.075794159,0.430776981,0.097512378,0.073512079,0.288532455
79,0.207599427,0.826411187,0.428704048,0.698445524,0.769375044,0.586107046
80,0.744962066,0.603505535,0.527945627,0.058533853,0.678818296,0.522753075
81,0.962234518,0.305570377,0.326747873,0.473843167,0.818575819,0.577394351
82,0.890301511,0.394159646,0.564819634,0.222428503,0.545042604,0.52335038
83,0.257220513,0.829119491,0.519798173,0.388547096,0.572675922,0.513472239
84,0.462743963,0.936761454,0.04074238,0.470284953,0.912452444,0.564597039
85,0.434538161,0.709620634,0.667058988,0.156810616,0.818213093,0.557248298
86,0.599095885,0.879571028,0.893196264,0.038851237,0.894017551,0.660946393
87,0.315527615,0.160272862,0.719610276,0.216461633,0.14995677,0.312365831
88,0.833156242,0.98157362,0.69898369,0.886361237,0.500366727,0.780088303
89,0.905924875,0.66555932,0.116665881,0.976446085,0.820502559,0.697019744
90,0.69553164,0.732539467,0.689275646,0.208629151,0.300707109,0.525336603
91,0.338996819,0.497616903,0.41411214,0.470202522,0.974765849,0.539138846
92,0.964103534,0.698807534,0.584418954,0.73891332,0.417534234,0.680755515
93,0.611972804,0.132810893,0.842161229,0.617847387,0.609448147,0.562848092
94,0.903269165,0.207543316,0.226789051,0.724990122,0.314156804,0.475349692
95,0.623581773,0.186125303,0.420203573,0.480566403,0.832513966,0.508598204
96,0.360783966,0.118480419,0.918459965,0.837874016,0.38826972,0.524773617
97,0.397394779,0.708824068,0.854699188,0.107904412,0.111623319,0.436089153
98,0.661026794,0.417390683,0.852358724,0.457027243,0.099415629,0.497443815
99,0.932494493,0.128111184,0.227619215,0.732277952,0.721533429,0.548407255
100,0.816620067,0.764349554,0.355050292,0.284417278,0.739126719,0.591912782
101,0.370078169,0.783797125,0.787849637,0.456190143,0.261534965,0.531890008
102,0.820543723,0.823928291,0.312308141,0.755440387,0.541537023,0.650751513
103,0.590233497,0.073713178,0.502375695,0.442198841,0.83062034,0.48782831
104,0.490172504,0.225068722,0.207205065,0.78945477,0.219504445,0.386281101
105,0.832984841,0.800229016,0.047025497,0.460488858,0.524131266,0.532971896
106,0.995999808,0.628407794,0.469607594,0.25388978,0.132650186,0.496111032
107,0.778894105,0.393390748,0.991797209,0.772829242,0.44498748,0.676379757
108,0.911372512,0.216577306,0.588708965,0.361948846,0.532201828,0.522161891
