,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
0,0.549,0.22,130.749,0.0698,0.000798,0.00485,0.357,244573,-7.843,0.531,3kdMzXOcrDIdSWLdONHNK5,0
1,0.975,0.16,129.022,0.0618,5.13e-05,0.713,0.594,205760,-3.21,0.899,3rFEKOClXOdNFO6fQGuQ9j,0
2,0.724,0.237,130.037,0.0313,0.000827,0.000144,0.512,198081,-5.912,0.531,4G3DWijMhNkWZwLcxnDI0H,0
3,0.828,0.06,126.037,0.0536,0.00175,0.0136,0.542,194626,-3.91,0.785,4YZVtRbdGOhHdGNi4JpCL5,0
4,0.886,0.256,161.939,0.0714,2.93e-05,5.33e-06,0.252,210560,-4.678,0.498,7GvkOFkNsM6Exnkyqeajqm,0
5,0.948,0.376,103.183,0.0356,0.00225,0.0,0.535,173680,-4.19,0.778,29EkMZmUNz1WsuzaMtVo1i,0
6,0.843,0.362,97.691,0.272,0.0102,0.104,0.474,274282,-5.909,0.433,1wsnCfewxZlCs7cJxkaMZM,0
7,0.588,0.373,170.889,0.0641,0.0359,0.000129,0.507,278707,-4.881,0.637,6NvRxjfYkkT2SpirAlmsjH,0
8,0.886,0.334,124.013,0.0483,0.00111,0.000129,0.65,169720,-4.821,0.88,1LbwMX3159t6QxG3u7DRWe,0
9,0.83,0.29,95.004,0.0652,0.129,0.0,0.64,195173,-5.43,0.62,274tSPavv09i163nBnYrCU,0
10,0.939,0.233,106.031,0.0456,0.157,0.0,0.644,208107,-3.486,0.861,28IEbk5a7twNTbUEvWslUb,0
11,0.948,0.105,196.578,0.147,0.0104,0.0,0.185,207587,-3.892,0.316,5eALoO9RRACvoxvLKF9zt4,0
12,0.932,0.425,112.49,0.0485,0.00154,0.000142,0.554,242280,-3.424,0.478,1vcxF91pWs9uNwDROuiCPB,0
13,0.953,0.152,105.046,0.0855,0.00148,0.000582,0.613,213800,-3.435,0.537,305WCRhhS10XUcH6AEwZk6,0
14,0.981,0.197,158.937,0.0906,0.000867,0.00177,0.52,240572,-2.75,0.633,2nIulsLMiP2SMTDrtxfQXX,0
15,0.892,0.751,136.133,0.0786,3.31e-05,0.0948,0.365,323373,-8.036,0.176,1wLQwg0mloy3yXjL0jPE0N,0
16,0.855,0.372,185.791,0.29,0.00354,0.0,0.37,178116,-3.232,0.65,6spaGIZEfeDYlgAupMI34k,0
17,0.855,0.194,185.913,0.157,0.00873,0.0,0.475,186475,-3.977,0.656,2UwBITdD5cadaSxBTjaiXZ,0
18,0.638,0.26,141.95,0.0392,0.016,0.00131,0.549,236587,-5.775,0.536,7vp1UlW0aAWLyg67yjw3Vo,0
19,0.971,0.354,188.116,0.161,0.000725,0.0,0.412,137307,-3.757,0.48,6ZDip2Ee7uMlHndFvFt26L,0
20,0.747,0.221,106.021,0.0342,0.177,0.0,0.676,256344,-4.639,0.449,5xlUcf5txiXDgPleHzkm8s,0
21,0.843,0.0699,175.798,0.114,0.000839,3.02e-05,0.282,161054,-6.002,0.418,2WRk6RxETSwdsg2dhtnXxc,0
22,0.889,0.391,108.279,0.172,0.0185,0.000661,0.363,235147,-6.722,0.589,0gnS1k4dyGPuD3TtHFaCD8,0
23,0.942,0.431,119.992,0.237,0.00039,6.36e-06,0.354,207987,-3.245,0.242,2hEYslbdYWFSIA6JboUvnR,0
24,0.887,0.37,145.141,0.0439,5.67e-05,0.274,0.368,212856,-4.995,0.459,0PolLOpygR0TWHkszVKOXz,0
25,0.865,0.141,148.013,0.0365,0.000583,0.0,0.42,243593,-5.502,0.341,1OgRBv3J0mxawWAMKE1dOd,0
26,0.907,0.0982,112.037,0.0488,0.00115,0.0,0.568,230933,-4.641,0.337,6x5deYIe42rgRbStECDjYQ,0
27,0.927,0.0849,136.021,0.0858,0.00421,0.000367,0.642,197280,-4.101,0.374,1BTZP3wYlQbjnq5L1QUGBc,0
28,0.857,0.12,138.004,0.0582,0.0649,0.0896,0.646,204262,-5.2,0.77,4ETZv4djcbgj8qrC8acKLL,0
29,0.687,0.122,107.992,0.0319,0.0041,0.611,0.651,242747,-7.371,0.374,5MEKqNAOlgt3sh5o0iq8EM,0
30,0.884,0.0478,107.96,0.0448,0.000254,0.000347,0.516,336113,-3.706,0.448,1PLMK1ui86iHHG3FM1N7ue,0
31,0.872,0.0997,166.3,0.068,0.00417,0.00975,0.356,193653,-7.837,0.607,3dOAXUx7I1qnzWzxdnsyB8,0
32,0.912,0.106,116.761,0.0564,2.55e-05,0.000173,0.502,301920,-4.556,0.72,1f3yAtsJtY87CTmM8RLnxf,0
33,0.894,0.269,90.604,0.0579,0.000387,0.000661,0.59,199893,-3.661,0.732,0SjhCnjTT2bXD9RtU8bFT9,0
34,0.943,0.091,85.064,0.0602,0.00293,8.71e-06,0.442,181533,-3.205,0.781,6L89mwZXSOwYl76YXfX13s,0
